,today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time,Unnamed: 0
141,2021-08-10,32S,,FRU,0.0,0,0,1.0,AER,2021-08-10 20:10:00,
142,2021-08-10,737,,FRU,0.0,0,0,1.0,ALA,2021-08-10 14:50:00,
143,2021-08-10,733,,FRU,0.0,0,0,1.0,KJA,2021-08-10 13:50:00,
144,2021-08-10,MD83,McDonnell Douglas MD-83,FRU,0.0,0,0,1.0,OSS,2021-08-10 13:45:00,
145,2021-08-10,737,,FRU,0.0,0,0,1.0,KRR,2021-08-10 13:40:00,
146,2021-08-10,A320,Airbus A320-216,FRU,0.0,0,0,1.0,ISB,2021-08-10 12:30:00,
147,2021-08-10,33X,,FRU,0.0,0,0,1.0,CAN,2021-08-10 12:25:00,
148,2021-08-10,A321,Airbus A321-211,FRU,0.0,0,0,1.0,KLF,2021-08-10 12:05:00,
149,2021-08-10,B738,Boeing 737-8LP,FRU,0.0,0,0,1.0,KZN,2021-08-10 12:00:00,
150,2021-08-10,737,,FRU,0.0,0,0,1.0,DME,2021-08-10 11:40:00,
151,2021-08-10,A320,Airbus A320-231,FRU,0.0,0,0,1.0,OSS,2021-08-10 11:00:00,
152,2021-08-10,A21N,Airbus A321-251NX,FRU,0.0,0,0,1.0,SVO,2021-08-10 10:25:00,
153,2021-08-10,MD83,McDonnell Douglas MD-83,FRU,0.0,0,0,1.0,OSS,2021-08-10 10:20:00,
154,2021-08-10,RJ85,Avro RJ85,FRU,0.0,0,0,1.0,OSS,2021-08-10 09:50:00,
155,2021-08-10,321,,FRU,0.0,0,0,1.0,SVO,2021-08-11 22:35:00,
156,2021-08-10,A21N,Airbus A321-271NX,FRU,0.0,0,0,1.0,IST,2021-08-12 00:55:00,
157,2021-08-10,32S,,FRU,0.0,0,0,1.0,KJA,2021-08-12 04:50:00,
158,2021-08-10,B772,Boeing 777-240(ER),FRU,0.0,0,0,1.0,LHE,2021-08-12 21:30:00,
159,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,1.0,DFW,2021-08-10 22:21:00,0.0,0,0,
160,2021-08-10,PC12,Pilatus PC-12/45,KROW,1.0,LRU,2021-08-10 19:52:31,0.0,0,0,
161,2021-08-10,CRJ2,Mitsubishi CRJ-200LR,KROW,1.0,ATW,2021-08-10 19:00:00,0.0,0,0,
162,2021-08-10,A320,Airbus A320-214,KROW,1.0,BOS,2021-08-10 17:10:00,0.0,0,0,
163,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,1.0,DFW,2021-08-10 16:11:00,0.0,0,0,
164,2021-08-10,C208,Cessna 208B Super Cargomaster,KROW,1.0,LBB,2021-08-10 13:20:00,0.0,0,0,
165,2021-08-10,PC12,Pilatus PC-12/45,KROW,1.0,ABQ,2021-08-10 13:18:24,0.0,0,0,
166,2021-08-10,C208,Cessna 208B Super Cargomaster,KROW,1.0,LBB,2021-08-10 12:37:00,0.0,0,0,
167,2021-08-10,C208,,KROW,0.0,0,0,1.0,LBB,2021-08-11 00:45:00,
168,2021-08-10,BE20,Beech 200 Super King Air,KROW,0.0,0,0,1.0,SAF,2021-08-10 23:44:00,
169,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,0.0,0,0,1.0,DFW,2021-08-10 22:51:00,
170,2021-08-10,CRJ2,Mitsubishi CRJ-200LR,KROW,0.0,0,0,1.0,ORD,2021-08-10 20:00:00,
171,2021-08-10,BE20,Beech 200 Super King Air,KROW,0.0,0,0,1.0,ABQ,2021-08-10 17:13:00,
172,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,0.0,0,0,1.0,DFW,2021-08-10 16:53:00,
173,2021-08-10,CRJ9,Mitsubishi CRJ-900LR,KROW,0.0,0,0,1.0,PHX,2021-08-10 13:00:00,
174,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,0.0,0,0,1.0,DFW,2021-08-10 12:25:00,
175,2021-08-10,PC12,Pilatus PC-12/45,KROW,0.0,0,0,1.0,LRU,2021-08-10 09:10:00,
176,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,0.0,0,0,1.0,DFW,2021-08-11 23:38:00,
177,2021-08-10,C208,,KROW,0.0,0,0,1.0,LBB,2021-08-12 00:45:00,
178,2021-08-10,C208,,KROW,0.0,0,0,1.0,LBB,2021-08-12 01:00:00,
179,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,0.0,0,0,1.0,DFW,2021-08-12 12:37:00,
180,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,0.0,0,0,1.0,PHX,2021-08-12 13:12:00,
181,2021-08-10,B763,,KROW,0.0,0,0,1.0,SFO,2021-08-12 14:15:00,
182,2021-08-10,CRJ7,Mitsubishi CRJ-701ER,KROW,0.0,0,0,1.0,DFW,2021-08-12 17:09:00,
183,2021-08-10,CR7,,KROW,0.0,0,0,1.0,DFW,2021-08-12 22:51:00,
184,2021-08-10,A332,Airbus A330-223,BGTL,1.0,CPH,2021-08-11 11:44:00,0.0,0,0,
185,2021-08-10,BH2,,BGTL,1.0,SVR,2021-08-10 18:20:00,0.0,0,0,
186,2021-08-10,BH2,,BGTL,1.0,NAQ,2021-08-10 15:30:00,0.0,0,0,
187,2021-08-10,BH2,,BGTL,0.0,0,0,1.0,SVR,2021-08-10 15:50:00,
